설(상)치 장소,입력주소,X,Y,CLSS,PNU,주소구분,표준신주소,표준구주소,우편번호,행정동코드,행정동명,법정동코드,법정동명
" 경상북도 구미시 산동면 신당3로 43, 107동 3호 4라인(신당리, 구미확장단지골드클래스) ","경상북도 구미시 산동면 신당3로 43, 107동 3호 4라인(신당리, 구미확장단지골드클래스) ",128.4296756,36.1567691,(무료버전 위치정밀도 제한)정좌표,47190,새주소,경상북도 구미시 산동읍 신당3로 43,경상북도 구미시 산동읍 신당리 1388,39464,4719025600,산동읍,4719025625,산동읍 신당리
" 경상북도 구미시 산동면 신당3로 43, 108동 3호 4라인(신당리, 구미확장단지골드클래스) ","경상북도 구미시 산동면 신당3로 43, 108동 3호 4라인(신당리, 구미확장단지골드클래스) ",128.4298091,36.1567866,(무료버전 위치정밀도 제한)정좌표,47190,새주소,경상북도 구미시 산동읍 신당3로 43,경상북도 구미시 산동읍 신당리 1388,39464,4719025600,산동읍,4719025625,산동읍 신당리
" 경상북도 구미시 산동면 신당4로 115, (신당리) ","경상북도 구미시 산동면 신당4로 115, (신당리) ",128.4286561,36.1552676,정좌표,4.72E+18,새주소,경상북도 구미시 산동읍 신당4로 115,경상북도 구미시 산동읍 신당리 1395,39464,4719025600,산동읍,4719025625,산동읍 신당리
" 경상북도 구미시 산동면 신당4로 56, (신당리) ","경상북도 구미시 산동면 신당4로 56, (신당리) ",128.4276853,36.1606878,정좌표,4.72E+18,새주소,경상북도 구미시 산동읍 신당4로 56,경상북도 구미시 산동읍 신당리 1790,39460,4719025600,산동읍,4719025625,산동읍 신당리
" 경상북도 구미시 산동면 신당4로 56, (신당리, 쌍용예가더파크) ","경상북도 구미시 산동면 신당4로 56, (신당리, 쌍용예가더파크) ",128.4276853,36.1606878,정좌표,4.72E+18,새주소,경상북도 구미시 산동읍 신당4로 56,경상북도 구미시 산동읍 신당리 1790,39460,4719025600,산동읍,4719025625,산동읍 신당리
" 경상북도 구미시 산동면 신당4로 56, (신당리, 쌍용예가더파크) ","경상북도 구미시 산동면 신당4로 56, (신당리, 쌍용예가더파크) ",128.4276853,36.1606878,정좌표,4.72E+18,새주소,경상북도 구미시 산동읍 신당4로 56,경상북도 구미시 산동읍 신당리 1790,39460,4719025600,산동읍,4719025625,산동읍 신당리
" 경상북도 구미시 산동면 신당4로 56, 쌍용예가더파크  (신당리) ","경상북도 구미시 산동면 신당4로 56, 쌍용예가더파크  (신당리) ",128.4276853,36.1606878,정좌표,4.72E+18,새주소,경상북도 구미시 산동읍 신당4로 56,경상북도 구미시 산동읍 신당리 1790,39460,4719025600,산동읍,4719025625,산동읍 신당리
" 경상북도 구미시 산동면 신당4로 56, 쌍용예가더파크  (신당리) ","경상북도 구미시 산동면 신당4로 56, 쌍용예가더파크  (신당리) ",128.4276853,36.1606878,정좌표,4.72E+18,새주소,경상북도 구미시 산동읍 신당4로 56,경상북도 구미시 산동읍 신당리 1790,39460,4719025600,산동읍,4719025625,산동읍 신당리
" 경상북도 구미시 산동면 신당4로 56, 쌍용예가더파크  (신당리) ","경상북도 구미시 산동면 신당4로 56, 쌍용예가더파크  (신당리) ",128.4276853,36.1606878,정좌표,4.72E+18,새주소,경상북도 구미시 산동읍 신당4로 56,경상북도 구미시 산동읍 신당리 1790,39460,4719025600,산동읍,4719025625,산동읍 신당리
경상북도 구미시 산동면 신당리 1169 ,경상북도 구미시 산동면 신당리 1169 ,128.4469209,36.1561652,인근좌표,47190,구주소,,경상북도 구미시 산동읍 신당리 1169,NULL,4719025600,산동읍,4719025625,산동읍 신당리
경상북도 구미시 산동면 신당리 1464 ,경상북도 구미시 산동면 신당리 1464 ,128.4346941,36.1558587,정좌표,4.72E+18,구주소,경상북도 구미시 산동읍 신당2로 3,경상북도 구미시 산동읍 신당리 1464,39464,4719025600,산동읍,4719025625,산동읍 신당리
